entryId,contentfulName,title,currentBannerVariant,currentSectionId,resolvedBannerVariant,status,usedOnPages,contentfulAdminUrl,notes
"20hQaYbKpgnXUBZ9S8T6gz","BANNER - Alcance economías regionales","El alcance de nuestras economías regionales","statistics","","statistics","already-set","/economias-regionales","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/20hQaYbKpgnXUBZ9S8T6gz",""
"6eKyzm99Q5KEO15HyBlSQo","BANNER - Grupo Petersen hoy","Grupo Petersen hoy","statistics","","statistics","already-set","/quienes-somos","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/6eKyzm99Q5KEO15HyBlSQo",""
"3h1p7Gv96SAbkY7ZxKyKHT","BANNER - Qualia seguros","Conocé nuestros Seguros","qualia","","qualia","already-set","/noticias","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/3h1p7Gv96SAbkY7ZxKyKHT",""
"5PdYHxlboZt0NuQlrs9kmB","BANNER - Que hacemos","Qué hacemos","hero","que-hacemos","hero","already-set","/quienes-somos","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/5PdYHxlboZt0NuQlrs9kmB","sectionId=""que-hacemos""."
"7wi2t3FtwZV6srWbHI1ugF","HERO - Economías Regionales","Economías Regionales","hero","","hero","already-set","/economias-regionales","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/7wi2t3FtwZV6srWbHI1ugF",""
"53hIJ41hHkrVOUi5JE9w92","HERO - Nuestro impacto","Nuestro impacto","hero","","hero","already-set","/nuestro-impacto","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/53hIJ41hHkrVOUi5JE9w92",""
"5YwUPKA2nyAoU3wjpYHt8N","HERO - Quienes somos","Quiénes Somos","hero","","hero","already-set","/quienes-somos","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/5YwUPKA2nyAoU3wjpYHt8N",""
"4jCgmhNyQv46b1h14g0O2F","HERO - Trabajá en GP","Trabajá en GP","hero","","hero","already-set","/trabaja-en-gp","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/4jCgmhNyQv46b1h14g0O2F",""
